order_id,customer_id,product_id,product_name,quantity,unit_price,total_amount,order_date,status,shipping_country
ORD_000001,CUST_00115,PROD_002,Mechanical Keyboard,1,89.99,89.99,2024-05-20,processing,Canada
ORD_000002,CUST_00217,PROD_002,Mechanical Keyboard,5,89.99,449.95,2024-02-14,pending,France
ORD_000003,CUST_00259,PROD_001,Wireless Mouse,1,29.99,29.99,2024-04-21,cancelled,Canada
ORD_000004,CUST_00333,PROD_001,Wireless Mouse,5,29.99,149.95,2024-04-11,cancelled,Australia
ORD_000005,CUST_00143,PROD_007,Mouse Pad XL,2,19.99,39.98,2024-08-17,pending,France
ORD_000006,CUST_00080,PROD_003,USB-C Hub,4,45.0,180.0,2024-06-23,processing,UK
ORD_000007,CUST_00050,PROD_006,Desk Lamp,1,24.99,24.99,2024-02-17,shipped,Germany
ORD_000008,CUST_00374,PROD_006,Desk Lamp,5,24.99,124.95,2024-05-15,delivered,USA
ORD_000009,CUST_00283,PROD_009,Laptop Stand,1,49.99,49.99,2024-07-12,shipped,USA
ORD_000010,CUST_00361,PROD_010,Blue Light Glasses,3,29.99,89.97,2024-10-22,pending,Canada
ORD_000011,CUST_00438,PROD_001,Wireless Mouse,2,29.99,59.98,2024-05-28,processing,USA
ORD_000012,CUST_00326,PROD_002,Mechanical Keyboard,4,89.99,359.96,2024-05-22,shipped,Germany
ORD_000013,CUST_00344,PROD_003,USB-C Hub,3,45.0,135.0,2024-06-30,shipped,Canada
ORD_000014,CUST_00274,PROD_002,Mechanical Keyboard,5,89.99,449.95,2024-11-21,processing,Canada
ORD_000015,CUST_00474,PROD_003,USB-C Hub,4,45.0,180.0,2024-07-13,cancelled,UK
ORD_000016,CUST_00421,PROD_004,Monitor Stand,3,34.5,103.5,2024-01-29,pending,Canada
ORD_000017,CUST_00109,PROD_006,Desk Lamp,4,24.99,99.96,2024-05-17,cancelled,USA
ORD_000018,CUST_00203,PROD_006,Desk Lamp,2,24.99,49.98,2024-12-01,delivered,Germany
ORD_000019,CUST_00382,PROD_003,USB-C Hub,3,45.0,135.0,2024-03-12,cancelled,Canada
ORD_000020,CUST_00460,PROD_009,Laptop Stand,3,49.99,149.97,2024-10-26,cancelled,Germany
ORD_000021,CUST_00261,PROD_007,Mouse Pad XL,3,19.99,59.97,2024-04-22,delivered,Canada
ORD_000022,CUST_00322,PROD_002,Mechanical Keyboard,1,89.99,89.99,2024-02-26,processing,Canada
ORD_000023,CUST_00196,PROD_007,Mouse Pad XL,5,19.99,99.95,2024-02-02,cancelled,Germany
ORD_000024,CUST_00441,PROD_008,Cable Management Kit,5,15.0,75.0,2024-05-08,pending,France
ORD_000025,CUST_00175,PROD_002,Mechanical Keyboard,5,89.99,449.95,2024-05-16,pending,Australia
ORD_000026,CUST_00002,PROD_005,Webcam HD,4,79.99,319.96,2024-03-21,shipped,Germany
ORD_000027,CUST_00446,PROD_009,Laptop Stand,2,49.99,99.98,2024-09-16,shipped,USA
ORD_000028,CUST_00192,PROD_009,Laptop Stand,5,49.99,249.95,2024-04-11,processing,Canada
ORD_000029,CUST_00166,PROD_009,Laptop Stand,5,49.99,249.95,2024-01-01,delivered,France
ORD_000030,CUST_00123,PROD_001,Wireless Mouse,1,29.99,29.99,2024-07-04,pending,UK
ORD_000031,CUST_00375,PROD_004,Monitor Stand,5,34.5,172.5,2024-02-10,delivered,USA
ORD_000032,CUST_00338,PROD_002,Mechanical Keyboard,5,89.99,449.95,2024-03-05,delivered,Canada
ORD_000033,CUST_00447,PROD_009,Laptop Stand,2,49.99,99.98,2024-05-15,cancelled,France
ORD_000034,CUST_00354,PROD_007,Mouse Pad XL,2,19.99,39.98,2024-10-03,processing,Australia
ORD_000035,CUST_00192,PROD_005,Webcam HD,4,79.99,319.96,2024-12-09,delivered,Australia
ORD_000036,CUST_00116,PROD_009,Laptop Stand,4,49.99,199.96,2024-03-02,pending,Canada
ORD_000037,CUST_00118,PROD_006,Desk Lamp,1,24.99,24.99,2024-10-28,cancelled,France
ORD_000038,CUST_00324,PROD_004,Monitor Stand,1,34.5,34.5,2024-02-06,pending,Australia
ORD_000039,CUST_00037,PROD_004,Monitor Stand,1,34.5,34.5,2024-01-17,cancelled,UK
ORD_000040,CUST_00110,PROD_004,Monitor Stand,3,34.5,103.5,2024-12-08,cancelled,Germany
ORD_000041,CUST_00125,PROD_003,USB-C Hub,5,45.0,225.0,2024-10-22,delivered,Germany
ORD_000042,CUST_00338,PROD_007,Mouse Pad XL,2,19.99,39.98,2024-02-18,delivered,USA
ORD_000043,CUST_00443,PROD_006,Desk Lamp,4,24.99,99.96,2024-07-29,pending,Germany
ORD_000044,CUST_00174,PROD_002,Mechanical Keyboard,1,89.99,89.99,2024-07-25,pending,Australia
ORD_000045,CUST_00230,PROD_004,Monitor Stand,2,34.5,69.0,2024-04-07,processing,France
ORD_000046,CUST_00128,PROD_007,Mouse Pad XL,2,19.99,39.98,2024-05-22,pending,Germany
ORD_000047,CUST_00334,PROD_008,Cable Management Kit,5,15.0,75.0,2024-02-20,cancelled,USA
ORD_000048,CUST_00209,PROD_001,Wireless Mouse,1,29.99,29.99,2024-05-01,delivered,Canada
ORD_000049,CUST_00085,PROD_008,Cable Management Kit,2,15.0,30.0,2024-07-24,delivered,USA
ORD_000050,CUST_00147,PROD_001,Wireless Mouse,4,29.99,119.96,2024-05-15,delivered,Germany
ORD_000051,CUST_00152,PROD_009,Laptop Stand,4,49.99,199.96,2024-03-20,processing,Canada
